region,industry,employment,establishments,avg_wage,year
Region_A,Manufacturing,6571,769,57223.474798590156,2023
Region_A,Technology,15198,1343,37426.100045322295,2023
Region_A,Healthcare,3461,247,67505.12105437763,2023
Region_A,Retail,7016,621,65914.7241783679,2023
Region_A,Finance,3037,262,40623.04478979973,2023
Region_A,Education,3387,298,47137.90783900565,2023
Region_A,Construction,4126,338,55339.62690441469,2023
Region_A,Hospitality,6850,702,57886.89957303233,2023
Region_B,Manufacturing,11699,1333,71331.85981540121,2023
Region_B,Technology,4235,307,57583.32633232768,2023
Region_B,Healthcare,3130,353,77793.45358418145,2023
Region_B,Retail,3090,332,43608.340865321574,2023
Region_B,Finance,6512,667,84201.82825191125,2023
Region_B,Education,6300,582,38208.61479830462,2023
Region_B,Construction,4400,350,71200.61854349231,2023
Region_B,Hospitality,4315,463,49819.372034077096,2023
Region_C,Manufacturing,3191,213,78990.67632501874,2023
Region_C,Technology,2848,281,65239.76086431988,2023
Region_C,Healthcare,7804,655,84395.78214107327,2023
Region_C,Retail,6217,426,71337.41980857201,2023
Region_C,Finance,14186,1108,40261.74587036209,2023
Region_C,Education,5407,410,46861.078942277265,2023
Region_C,Construction,7328,561,68431.79927442459,2023
Region_C,Hospitality,5711,566,63549.285343760064,2023
Region_D,Manufacturing,5339,357,46335.797908196335,2023
Region_D,Technology,4571,534,83369.44372762716,2023
Region_D,Healthcare,4439,477,41444.2648215118,2023
Region_D,Retail,3351,308,38518.492683557015,2023
Region_D,Finance,4053,307,78713.81468949684,2023
Region_D,Education,6632,754,61730.61760511635,2023
Region_D,Construction,4616,337,72673.31219177286,2023
Region_D,Hospitality,5990,562,50869.4164533145,2023
Region_E,Manufacturing,3439,320,72532.50576634116,2023
Region_E,Technology,6007,413,65124.48569391569,2023
Region_E,Healthcare,4100,452,66430.97439932918,2023
Region_E,Retail,3693,419,45129.124255093935,2023
Region_E,Finance,7174,668,64147.97200136217,2023
Region_E,Education,5454,469,76141.35152179195,2023
Region_E,Construction,3596,415,84166.77211255807,2023
Region_E,Hospitality,2634,180,57292.74367601587,2023
Region_F,Manufacturing,4850,410,60535.080065490314,2023
Region_F,Technology,7522,736,41271.707520370175,2023
Region_F,Healthcare,6648,446,61729.72023289175,2023
Region_F,Retail,4756,577,80344.97705790102,2023
Region_F,Finance,8130,817,81540.89363054982,2023
Region_F,Education,2539,307,40215.88782065539,2023
Region_F,Construction,5543,519,78823.19018499162,2023
Region_F,Hospitality,5917,475,67990.63805223865,2023
Region_G,Manufacturing,7388,531,58563.70181003492,2023
Region_G,Technology,5646,401,74964.04397651246,2023
Region_G,Healthcare,4075,387,44668.97465504058,2023
Region_G,Retail,5438,398,81563.84067478449,2023
Region_G,Finance,6550,475,75050.27758615905,2023
Region_G,Education,4026,268,39382.34937544694,2023
Region_G,Construction,3811,259,71700.7307197651,2023
Region_G,Hospitality,5999,612,81157.31973612927,2023
Region_H,Manufacturing,2837,200,53154.32787206897,2023
Region_H,Technology,6973,708,83821.61384496135,2023
Region_H,Healthcare,5898,551,60137.41408746185,2023
Region_H,Retail,6774,508,55075.690715229844,2023
Region_H,Finance,4481,545,47959.18612618415,2023
Region_H,Education,5746,464,46792.153340357916,2023
Region_H,Construction,4900,364,60449.38253091202,2023
Region_H,Hospitality,3426,233,71489.82394660685,2023
Region_I,Manufacturing,4901,357,49269.84137118317,2023
Region_I,Technology,4318,311,43605.73605475684,2023
Region_I,Healthcare,5549,681,65358.62982847261,2023
Region_I,Retail,3738,268,58988.98782907114,2023
Region_I,Finance,3532,295,69199.08905039854,2023
Region_I,Education,2842,309,82688.25932324494,2023
Region_I,Construction,6670,490,66003.12747895787,2023
Region_I,Hospitality,5227,429,71536.584189172,2023
Region_J,Manufacturing,6901,606,79562.3138378644,2023
Region_J,Technology,2296,166,37219.848782806046,2023
Region_J,Healthcare,4020,432,65227.4301328274,2023
Region_J,Retail,4576,440,60358.003892931025,2023
Region_J,Finance,5744,489,47052.60965341428,2023
Region_J,Education,6979,851,61155.43856828805,2023
Region_J,Construction,5403,362,83255.52173717084,2023
Region_J,Hospitality,3633,353,63236.37370523434,2023
